SENTENCE A,SENTENCE B,label
the little girl is swinging and the woman is standing behind her,a small child is showing excitement on a swing set at the park,0
a dog with a golden coat is in the water,a brown dog is standing in the water,0
there is no little girl with blond hair smiling and sitting on a swing,a little girl with blond hair is smiling and sitting on a swing,1
pedestrians and cars are moving through a traffic jam in a small city,pedestrians and cars are moving through a traffic jam in a big city,0
a kid is sitting wearing swim gear,a young swimmer is standing in a bathing suit and waiting for the next race,0
there is no man opening a box with a knife,a man is playing a guitar,0
two girls are playing guitar,two men are talking,0
a baby is talking,the child is silent,0
a large brown dog is jumping over a red hurdle,a young man is running away from the fishing line,0
the runners are racing around a track,the runners are not racing around a track,1
some water is being drunk by a cat,a truck is quickly going down a hill,0
the group of people is not sitting on a rocky ledge with a scenic view behind them,four people are sitting on a low cement ledge,0
there is no man slicing some bread,a man is slicing some bread,1
the man is driving a car,the drivers car is parked by a man,0
a man is doing a card trick,a man is doing a magic trick,0
there is no dog leaping through snowy grass and rocks,two large dogs a light colored one and a dark one are running through snowy terrain,0
the soccer player is not kicking the ball between somebodys legs,the soccer player is kicking the ball between somebodys legs,1
a white dog is standing on a grassy hillside,a black dog is standing on a grassy hillside,0
a shirtless woman is leading a horse that is pulling a carriage,a shirtless man is leading a horse that is pulling a carriage,1
a man at the keyboard is playing with his nose,the man is playing the piano with his nose,0
the monkey is practicing martial arts,the monkey isnt practicing martial arts,1
there is no man cutting onions,a woman is cutting an onion,0
a woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently,a woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,0
three men are sitting on a mountainside and looking at the view with a pair of binoculars,three men are sitting on a hill and looking at the mountains and sky,0
the jockeys are racing horses on the field which is completely green,a few horses are racing furiously over the green grass and jumping the obstacle,0
a woman is showing a dog with very short hair at a dog show,a woman is showing a dog with very long hair at a dog show,1
a man is riding a scooter,a man is not riding a scooter,1
a lemur is hanging on a cord,a woman is buttering a piece of bread,0
two men are not taking a break from construction,two construction workers are sitting up on the side of a building,0
there is no person playing a piano,a person is slicing a potato,0
a dog is standing on a mountain,a white dog is standing on a grassy hillside,0
the man is riding a horse,a horse is riding over a man,0
a woman is slicing carrots,there is no woman cutting potatoes,0
the woman is eating,the woman is drinking,0
a kitten is drinking fresh milk,there is no milk being drunk by a cat,1
a girl is carrying a lot of colorful scarves on the beach,a young woman is carrying a lot of colorful scarves on the beach,0
there is no blonde lady looking at a tower,a woman dressed in elegant clothing is inside a crowd of people and is looking down,0
the machine is not shaving a pencil,the machine is shaving the end of a pencil,1
there is no motorcyclist riding a motorbike along a roadway,a motorcyclist with a red helmet is riding a blue motorcycle down the road,1
a chef is preparing some food,there is no chef preparing a meal,1
the men are packing suitcases into the trunk of a car,the young boy is running through the ocean waves,0
the men are playing with a ball,a man is riding a motorcycle,0
a man is being stopped on a rope bridge,a boy is walking across a bridge,0
a man is shooting with a bow,a man is rowing a boat,0
a white car and a yellow car are racing down the track,no race car is on a road in front of a grassy parking area,0
a kitten is getting bored,a kitten is playing with a blue rope toy,0
a woman who is old is near a dog that has a white coat,a woman and a dog are sitting on a tree stump,0
there is no squirrel spinning around in circles,a squirrel is running around in circles,1
there is no man playing the piano with his nose,a man is playing the keyboard with his nose,1
a person is stopping the bicycle in the sand beside the ocean,a person is riding a bicycle in the sand beside the ocean,0
a woman is dancing,a woman is sleeping,0
a toddler is sitting down,a girl is sitting in a seat,0
a lone biker is jumping in the air,a man is jumping into a full pool,0
what did they say first,what did they say last,1
a woman is collecting tap water in a mug,there is no boy filling a pitcher with water,0
a boy is playing a game with wooden blocks,some cheerleaders are dancing,0
a cat is playing a keyboard,a man is playing two keyboards,0
four people are floating on a raft,people are not riding and paddling a raft,0
a bunch of guys is on the shore,people are on a beach full of sand by the ocean and are enjoying a sunny day,0
the man is riding the horse,the girl is spraying the plants with water,0
the girl has red hair and eyebrows several piercings in a ear and a tattoo on the back,the girl has red hair and eyebrows several piercings in a ear and no tattoo on the back,1
the man is not playing a guitar,a man is playing a trumpet,0
the cyclist isnt performing a trick in the air,the cyclist is performing a trick in the air,1
there is no girl with black and orange patches on the cheeks,a girl is standing in a group and is wearing a black shirt and pink beads,0
there is no man speaking,a man is speaking,1
there is no lady walking in body paint in front of a crowd ,a nude lady is walking in front of a crowd in body paint,1
a young girl in blue is jumping in the air,there is no girl in blue jumping in the air,1
a young oriental girl is standing above the crowd and is playing with a pinwheel,a girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,0
a person is tearing paper,a man is cutting a paper,0
two kids are playing in a swimming pool with a green colored crocodile float,two kids are pushing past a crocodile in an inflatable pool,0
three children are running down hill,three children are running up a grassy hillside,0
a boy wearing a striped shirt is running barefoot on the sandy hill,a woman is wearing a blue helmet and is riding a bicycle in a parking lot,0
a man is standing beside a large and colorful birdcage,the man is sitting next to a birdcage,0
a black bird is sitting on a dead tree,a black bird is taking flight from a dead tree,0
tom loves men,tom hates men,1
a little boy and a woman wearing a yellow shirt are getting splashed by a city fountain,a young girl is playing on the edge of a fountain and an older woman is watching her,0
three boys are walking on rocks along a river,the men in brown shorts are not walking on the rocks beside a river,0
a person is dancing in the rain,a man is singing into a microphone,0
people at a drag race are looking at the flames that are coming out of the cars,the crowd is not watching two racing cars that are leaving the starting line,0
someone is not putting ingredients into a wok,someone is putting ingredients into a wok,1
a woman is playing a flute,a woman is putting down a flute,0
a woman is peeling a potato,there is no woman slicing a tomato,0
a person is doing a trick with some cards,a man is frying a tortilla,0
a man is naked and is lying in the field,a man is wearing a sports uniform and is running down the field,0
a man is missing the soccer ball,a man is kicking a soccer ball,0
there is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,a man is sitting near a bike and is writing a note,0
a man is in a parking lot and is playing tennis against a friend,a man is pointing at a silver sedan,0
a group of people in a large asian restaurant is eating,various people are eating at red tables in a crowded restaurant with purple lights,0
 water from the faucet is being drunk by a yellow dog,the yellow dog is drinking water from a bottle,0
a lady is wearing a black dress and is carrying a white cross,a man in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,0
a black rally car is throwing mud into the air and is approaching a bend in the track,a white race car is driving through a puddle,0
the person in the blue jacket is wearing a colorful helmet,a race car driver is sitting down and is motionless,0
no people is sitting around a fire at night,several people are sitting around a fire at night,1
a man is fishing in the river,a man is singing and walking down the sidewalk,0
the adults and children are being gathered near an outdoor seating arrangement,adults and children standing and playing in front of a stair near a wooded area,0
a man is speaking on a stage,there is no man speaking on a stage,1
there is no lady mixing a meat mixture in a bowl,the woman is stirring meat in a bowl,1
a brown and white coat is floating across shallow water near a trotting dog,a woman is brushing her feet,0
a bike rider in a black and red uniform is jumping down off a dirt bike,a person is riding a bike,0
someone is folding a piece of paper,nobody is folding a piece of paper,1
the woman is not pouring oil into the pan,the boy is playing the piano,0
two people are in the snow wearing clothes that provide camouflage,two people are in the snow holding two dogs with golden coats,0
two men are standing near the water and are holding fishing poles,two men are holding fishing poles and fishing tackle,0
a man is playing a guitar,there is no man playing a guitar,1
there is no pet dog standing on the bank and looking at another brown dog in the pond,a pet dog is standing on the bank and is looking at another brown dog in the pond,1
the man is cutting the tape on the box,there is no man cutting a box,0
the dog is running through the dry sand,a dog is running on the beach,0
a person is quickly chopping mushrooms with a knife,there is no man rapidly chopping some mushrooms with a knife,0
there is no woman wearing sunglasses of large size and holding newspapers in both hands,a woman is wearing sunglasses of large size and is holding newspapers in both hands,1
the man is kick boxing with a trainer,a karate practitioner is kicking at another man who is wearing protective gloves for boxing,0
there is no man riding an electric bicycle,a man is riding an electric bicycle,1
four people are standing on a low cement ledge,four people are sitting on a low cement ledge,0
a sea turtle is hunting for fish,the turtle isnt following the fish,0
a man is shaking a container over a sink in the kitchen,a man is emptying a container made of plastic,0
nobody is folding a piece of paper,someone is folding a piece of paper,1
three boys are resting on rocks along a river,the men in brown shorts are walking on the rocks beside a river,0
three men and a woman are posing for a picture,a woman is posing for three men for a photo,0
nobody is slicing a piece of bread,a man is slicing some bread,1
a person on a yellow dirt bike is taking a jump,a person on a yellow clean bike is taking a jump,0
a horse is falling on someone,the man is being knocked off of a horse,0
a dog is not swimming in a body of water,a brown dog is standing in a lake,0
the young kids are posing with a green soccer ball in a park,four boys are kneeling next to each other in front of a ball,0
a man is not drawing on a digital dry erase board,a man is drawing some figures,0
a man is dancing on the ceiling,there is no famous singer dancing on the ceiling,0
a man is using a knife to open a box,a man is playing a guitar,0
there is no person on a bike jumping through the air with the sun flaring through the bike frame,a person on a bike is jumping through the air and the sun is flaring through the bike frame,1
a person is standing in the snow at the edge of a mountain,a woman is standing at dusk on an almost pristine snowy road that is lit only by headlights,0
there is no soccer player who is being tackled by an opponent,rugby players are tackling each other,0
a girl is jumping off a rock and another is standing on it,a girl is jumping on a rock and another is sitting on it,0
two dogs are running and trying to catch a soccer ball,two cats on a lawn are playing with a plastic toy,0
a person is not chopping an onion,a person is riding a motorcycle,0
a man is eating,a woman is sleeping,0
there is no man in a hat playing a harp,a man in a hat is playing a harp,1
a guy is not riding a horse,a man is riding a horse in the desert,0
a woman is pouring a mixture into a bowl and mixing it,a woman is preparing a skillet for the eggs,0
a man is carelessly holding a frog,a man is carelessly dropping a frog,0
there is no man playing a guitar,a man is playing a guitar,1
not everyone is able to walk a lion,a lion is pacing tiredly in a pen,0
a boy and a girl in swimsuits are wearing arm floats,the boy and the girl are playing and wearing arm floats,0
the man is hammering a nail with a camera,someone is banging a camera lens against a nail,0
there is no man in a grey t-shirt sitting on a rock in front of the waterfall,a woman is sitting and looking at the waterfall,0
adults and children standing and playing in front of steps near a wooded area,the adults and children are being gathered near an outdoor seating arrangement,0
a man with a white hat and brown shirt is behind a woman in red and is looking to the right,a man with a white hat and brown shirt is behind a woman in red and is looking to the left,0
there is no woman slicing an onion,a woman is slicing an onion,1
a panda is climbing,a man is untying a rope,0
a man is playing a guitar,a man is not playing a guitar,1
there is no man playing soccer,a man is playing soccer,1
a dog is pushing a toddler into a rain puddle,a dog is pulling a toddler out of a rain puddle,0
a black dog is standing in shallow water,there is no black dog with a red collar putting its face in the water,0
the men are not putting suitcases into the trunk of a car ,the men are packing suitcases into the trunk of a car,1
a young woman is playing the guitar,the man is intensely playing the guitar,0
the turtle is following the fish,a sea turtle is hunting for food,0
there is no man wiping the edge of a bowl,a chef is cleaning a bowl of soup,0
a baby is crawling happily,a baby is sneezing and scaring another baby,0
a small dog is chasing a large brown cow,a dog is walking away from the tail of an animal in the grass,0
the elephant is being ridden by the woman,the elephant isnt being ridden by the woman,1
there is no lady cutting up some meat,some meat is being cut into pieces by a woman,1
two men are fighting in a cow pasture,two men are fighting in a pen for cattle,0
a girl is communicating with sign language,a young boy is using sign language,0
some boys are jumping off a platform,a boy is jumping off a platform and two other boys are standing and watching,0
there is no man writing a note near a bike,a man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,0
a black and white dog is playing with a frisbee in a brown field,a black and white dog is playing with a broken volleyball,0
there is no person in bike gear standing steadily in front of the mountains,a group of people is equipped with protective gear,0
the rider is biking in the snow and wearing a red jacket,a cyclist is biking in a snowy forest at day,0
people in costumes are sitting in the street,people in costumes are walking around in the street,0
the oriental lady is cutting a carrot into thin pieces,the oriental lady is not cutting a carrot into thin pieces,1
a woman is riding a water scooter,the boy is riding a tricycle,0
the guitar is being played by the man who has the guitar case open for donations,a man in a purple suit is standing by a purple case and is playing a guitar,0
a girl is playing a guitar,a woman is dancing near a fire,0
the badger isnt burrowing a hole,the badger is burrowing a hole,1
a small boy in a yellow shirt is laughing on the beach,a laughing boy is in a yellow tank and is wearing a top,0
a woman is slicing a tomato,there is no woman slicing a tomato,1
two dogs are running and catching a tennis ball,two dogs are running and trying to catch a soccer ball,0
a man is dangerously throwing knives at a tree,a man is dangerously extracting knives from a tree,0
a man is confidently slicing a carrot with a knife,a child is playing with a water spout outdoors and the rest of his family is watching,0
a deer is jumping over the enclosure,a deer is jumping a fence,0
a white dog is leaping from a cylindrical hay bale,a black dog is leaping from a cylindrical hay bale,0
a woman is looking curiously at a man,a man and a woman are in a room painted beige wearing dark colored shirts and a monitor is in the background,0
the windows are being cleaned by a man,the man is driving a car,0
children in swimming suits are not playing in the water,children in swimming suits are playing in the water,1
a kid is playing the piano,a kid is playing the guitar,0
the woman is measuring the other woman,the lady isnt measuring the ankle of another woman,0
some people are sitting on a low cement ledge,the group of people is sitting on a rocky ledge and a scenic view is behind them,0
"Yes, you can.","It is a regular android phone so yes, you can download apps from the google play store",0
a woman is cutting an onion,a horse is standing,0
there is no man playing a game on the grass,a man is playing the guitar,0
the orange rescue boat is rushing across the water,two men are rafting near a rider in orange on the shore,0
a man is playing with water,a man is doing a magic trick,0
the woman is playing a guitar which is acoustic and singing,the woman isnt playing the guitar which is acoustic or singing,1
a lone biker is jumping in the air,a man is jumping into an empty pool,0
a woman is cutting broccoli,a man is cutting tomatoes,0
a person is sitting on a mountain top,a person is standing on a mountain top,0
there is no woman snowboarding down an incline and there is no other woman standing behind her,a woman is snowboarding down an incline and another woman is standing behind her,1
a group of boys in a yard is playing and a man is standing in the background,the young boys are playing outdoors and the man is smiling nearby,0
a topless girl is covered in paint,a young topless woman is not covered in paint,1
Um yes... thats why its bought of course.,"Yes, when you put it on the end of an extension pointing in the direction of the source for audio that you are trying to capture.",0
two men are riding an orange raft on the shore,the rescue boat which is orange is rushing across the water,0
there is no bicyclist jumping on a pyramid-shaped ramp,a young man on a bmx bicycle is jumping off a masonry pyramid,0
a woman is talking on a telephone,two boys are talking on the phone,0
the man is driving a car,the man has a window of time to clean himself,0
"yes, a sim card is all that it needs. I used this overseas, and in the US.",Yes it was,0
a woman is throwing a potato peel,one woman is peeling a potato,0
a grey dog is jumping toward a black and white dog in the soft snow,two poodles are in the snow and one is jumping high,0
a bee is taking off from a yellow flower,a small bee is landing on a bunch of yellow flowers,0
its an emergency,its not an emergency,1
the male who is dark skinned is standing on one hand in front of a yellow building,a black man is break dancing on the pavement,0
a person is cutting some ginger,an onion is being sliced by a person,0
some people are walking,a group of scouts is dying,1
a few men are playing cricket,people are not playing cricket,1
a man is buttering a slice of bread,a lemur is hanging on a cord,0
people are singing and a clown is dancing,a clown is singing,0
the military officer is shouting at the recruits,an officer is talking to the recruits,0
a cow is not eating hay,a cow is eating hay,1
a person is riding the bicycle on one wheel,a man in a black jacket is doing tricks on a motorbike,0
the tan dog is not watching a brown dog that is swimming in a pond,the tan dog is watching a brown dog that is swimming in a pond,1
a man is spitting on the ground,a man is talking,0
the woman in the white sweater is drawing a tattoo on the hand of a teenager,a girl is getting a tattoo on her hand,0
the man is lifting weights,the man is lowering barbells,0
a person is lying on the top of the rocks with clouds behind them,a person is standing on a mountain top,0
the man and woman are walking,the man and woman are not walking,1
a dog is jumping in the air to catch a red ball,a dog is near the red ball in the air,0
a person is strongly whisking eggs in a bowl,there is no woman beating two eggs in a bowl and using a whisk made of wire,1
a player is running with the ball,football is being played by two competing teams,0
nobody is playing the guitar and singing,the woman is playing a guitar which is acoustic and singing,1
a man is jumping a wall,a man is standing in front of a wall,0
a woman is carefully pouring a mixture into a bowl and mixing it,a woman is preparing an egg in a skillet,0
a woman is playing the flute,a man is playing the flute,0
an animal is rolling from side to side in a garden,a dog is rolling from side to side,0
little kids are playing in a water fountain in front of few people,a monkey is brushing the dog,0
two children are crouching under some metal bars,two children are leaning on a rusty ledge,0
a black and brown dog is eyeing a fly,a brown and black dog is pointing the nose downwards,0
a man is falling off a horse on a track and is laid in the wild,the cowboy is tossing the blue and red pants towards the horse,0
a bride with a white dress is looking down,a woman is looking down and is wearing a wedding veil,0
there is no man slicing potatoes,a man is slicing potatoes,1
the man is tossing a kid into the swimming pool that is near the ocean,a kid swimming in the ocean is tossing a coin into the pool near the man,0
a person in a blue jacket is jumping off of a tall cement wall,the man is not performing a large jump,0
a dog is running on the ground,the girl is tapping her fingernails,0
a young girl with a heart tank top is raising her hands as she is sliding,a young boy with a heart tank top is raising his hands as he is sliding,0
a woman is wearing a colorful shirt and a lot of jewelry,a girl with indian clothing and henna on her hand is going through paperwork,0
the man is erasing the drawing on the board,the girl is erasing the other mans work from the board,0
a lady is surfing and riding a wave,a boy is surfing and riding a wave,0
the shirtless man in striped shorts and sunglasses is standing near a person in a white shirt and sunglasses,the muscular black man is dancing and the man behind him is wearing green beads,0
a man is playing the guitar,a man is dropping the guitar,0
a man is roasting a snake,the man is dropping sliced cucumbers into water,0
a white cat perched on a small wooden cabinet is looking outside the window,the cat perched on the table is looking out the window,0
a girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,a girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a woman with grey hair,0
a child is playing with a water spout outdoors and the rest of his family is watching,a boy is laying down a hose next to a man and another boy is running away,0
the big bag is inside the small bag,the small bag is inside the big bag,1
a man is praying,there is no man praying,1
a man is breaking a wooden hand against a board,a man is breaking wooden boards with his hand,0
one climber is holding a rock and another man is roping a wall,the black and white dog is running outdoors,0
the white dog wearing reindeer ears is near a brown dog,the white dog is not wearing reindeer ears and isnt near a brown dog,1
two women are standing together and one is looking through binoculars,two men are looking out and one is holding binoculars,0
there is no man playing the guitar,a woman is slicing an octopus,0
the men are packing suitcases into the trunk of a car,the men are not putting suitcases into the trunk of a car ,1
a man is putting down an electronic device,a man is holding up an electronic device,1
nobody is riding the bicycle on one wheel,a person is riding the bicycle on one wheel,1
a woman in a purple top is walking a bicycle between two stone columns,a stone woman and bicycle are on top of two purple columns between which people are walking,0
a child is wearing a yellow jacket and is jumping down from a rock,a child is wearing a yellow jacket and is jumping on a rock,0
there is no person cutting some mushrooms,a person is cutting mushrooms with a knife,1
a man in a big city is holding a sign and begging for money,a man in a small city is doing charity work,0
a man is putting some cheese on a pizza,there is no man sprinkling shredded cheese on a pizza,1
two children are rolling in clean water,two boys are laying in the ocean close to the beach,0
a boy in a red shirt is in front of a long blue wall and is suspiciously raising an eyebrow at the camera,a boy in a red shirt is behind a long blue wall and is lowering an eyebrow facing the camera,0
two baby pandas are sleeping,two baby pandas are playing,0
the young boy in the blue shirt is jumping into the water,a young girl is jumping into a still lake,0
the straw is in the water,the water is in the straw,1
someone is putting the guitar away,someone is playing the guitar,0
there is no woman slicing a tomato,a woman is peeling a potato,0
a brown and white cat is jumping on the sidewalk,a brown and white dog is jumping on the sidewalk,0
there is no woman peeling a potato,the potato is being peeled by a woman,1
a man is jumping into an empty pool,a biker is jumping in the air alone,0
no dog is emerging from a lake,a dog is emerging from a lake,1
a little boy is watching a family that is hitting a baseball,a family is watching a little boy who is hitting a baseball,0
someone is playing with a toad,the trumpet is being played by a man,0
a young girl is using sign language,there is no girl communicating with sign language,1
a woman is boiling shrimps,a woman is arranging her hair,0
a person is unfolding a tortilla,a person is folding a tortilla,1
a girl dressed in purple and blue is walking beside her bike at night,a woman in a purple top is walking a bicycle between two stone columns,0
a person is doing a trick on a snowboard,a snowboarder is grinding down a long rail,0
two kids and a man are playing games at an arcade,a family is purchasing something at the vending machine,0
a girl is styling her hair,a girl is combing her hair,0
No just with t-mobile and family mobile,nope,0
a man is petting two dogs,a woman is removing eggs from a frying pan,0
a man is wearing a blue shirt and walking barefoot on a tennis court,a barefoot man in pajamas is looking toward the stars and is walking on the tennis court,0
a small child is showing excitement on a swing set at the park,the little girl is not swinging and the woman is not standing behind her,0
there are no soccer players kicking a soccer ball into the goal,soccer players are kicking a soccer ball into the goal,1
various people are eating at red tables in a crowded restaurant with purple lights,a small group of people is waiting to eat in a restaurant,0
boys are dancing in front of some people,two men are doing a funny skit with a boxer in front of a crowd of people,0
a man is singing to a girl,a man is singing to a woman,0
two people are walking near the water,two people are standing in the ocean and watching the sunset,0
a woman on a rock is lying on a blanket and reading a book,a woman on a rock is standing and looking around,0
a person is taking away the meat in the skillet,a person is putting meat into a skillet,0
a father is pushing his daughter on a go-kart and another girl is watching,a white dog is standing on fallen leaves,0
a person is cutting some ginger,there is no person slicing an onion,0
a woman is placing two eggs into a pot of water,a woman is drying eggs,0
a cat is playing with a watermelon,the cat isnt playing with a watermelon,1
a man is spitting,there is no man spitting,1
two children are crouching under some metal bars,two children are stretching over some metal bars,0
three people are standing next to a tree limb,two children are hanging on a large branch,0
a dog which is furry and black is in a back yard and is carrying a basket in its mouth,there is no dog which is furry and black in a back yard carrying a basket in its mouth,1
a man is spitting,there is no person standing in a vast field of glacial ice,0
a sheepdog is grouping a herd of sheep,a dog is scattering a pack of white sheep on a dusty farm,0
a large crowd in warm clothing is posing for a camera,a crowd is posing for a large camera man in heavy clothing,0
a cat is sliding upside down under a couch,a cat is not crawling under a piece of furniture,1
the girl has red hair and eyebrows several piercings in a ear and a tattoo on the back,a girl with red hair and red eyebrows is talking,0
a band is not performing on a stage,a band is performing on a stage,1
a race car driver is standing up and pointing his hand at the sky,the person in the blue jacket is wearing a colorful helmet,0
the woman is cracking two eggs into a glass bowl,a woman is placing a bowl with a crack near an egg,0
there is no man mixing,a man is mixing,1
several women are wearing pink bunny ears and are pointing to the right,several women are taking off pink bunny ears and are pointing to the left,0
two daschunds are playing with a red ball,two brown dogs are fighting over a red ball and are playing in the grass,0
a woman is wearing a colorful shirt and a lot of jewelry,a man is wearing a colorful shirt and a lot of jewelry,0
a woman is putting on makeup carefully,the band is singing loudly,0
two tall basketball players are scrambling for the ball on the court,a basketball player is on the court floor and another one is grabbing the ball,0
a girl with red hair and red eyebrows is in midspeech,the girl has red hair and eyebrows several piercings in a ear and a tattoo on the back,0
a man and a woman are not driving down the street in a jeep,a man and a woman are driving down the street in a jeep,1
an old woman is shirtless and is clumsily dropping two newspapers,a woman is wearing sunglasses of large size and is holding newspapers in both hands,0
a baby is crawling happily,a baby is cheering another baby,0
there is no young child running outside over the fallen leaves,a young child is running outside over the fallen leaves,1
people are riding and paddling a raft,nobody is floating on a raft,1
a person is not playing the keyboard,a person is playing the keyboard,1
little kids are playing in a water fountain in front of lots of people,animals are playing in fountains that spray water from the ground,0
a man is laying a cover over a wild horse that is falling on the track,a man is falling off a horse on a track and is laid in the wild,0
Yes,"Yes. I use it because my studio headphone jack is too big to use with protective cases for my Kindle or iPhone, and the male end is considerably smaller. Does that help?",0
a tan dog is splashing in the water on the bank of a pond,a light brown dog is running in the grass,0
a man is resting on a chair and rubbing his eyes,a man with tattoos is lounging on a couch and holding a pencil,0
three people are walking on the beach,a man a woman and two girls are walking on the beach,1
a black dog is standing in shallow water,a black dog is standing in deep water,0
two dogs are playing outside,two brown and white dogs are fighting on a grassy area behind a tree,0
a man is massaging a woman,there is no man screwing a piece of wood to a wall,0
a little boy and a woman wearing a yellow shirt are getting splashed by a city fountain,a little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,0
a man is dancing,there is no man praying,0
a man is playing the keyboard with his nose,there is no man playing the piano with his nose,1
i ran faster than tom,tom ran faster than i,1
a woman is peeling a potato,a woman is passionately playing a guitar in front of an audience,0
a woman is putting on makeup carefully,the band is singing ,0
a girl dressed in purple and blue is walking beside her bike at night,a naked girl is walking beside her bike at night,0
some horses are resting on the green grass,the jockeys are racing horses on the field which is completely green,0
the boys are standing in front of the burning car,the boys are not standing in front of the burning car,1
a woman is dancing near a fire,a woman is dancing near a fireplace,0
a black dog and a yellow dog are playing with each other,two cats are in a kennel on their hind legs and are facing one another,0
a girl is running through the water at the beach,a boy is running through the water at the beach,0
a man is riding a horse,there is no man driving a car,0
the girl is lounging,a girl is exercising,0
the windows are being cleaned by a man,the man has a window of time to clean himself,0
two women are sparring in a kickboxing match,two young men are sparring in a kickboxing fight,1
the lady is slicing up the meat,the lady is breaking an egg for the mixer,0
a man is inside the house and is throwing blades at a close target,a man is outside and is throwing blades at a close target,1
a black dog with a red collar is putting its face in the water,there is no black dog with a red collar putting its face in the water,1
a man is laughing,a man is crying,0
a person is standing in a vast field of glacial ice,there is no person standing in a vast field of glacial ice,1
a dog is swimming after a tennis ball,a dog is barking at a ball,0
the dog is on a leash and is walking out of the water,a black dog on a leash is walking in the water,0
the boy is trotting on the horse,the girl is trotting on the horse,0
four athletes are with a man in a crowded stadium,a person in a pink jacket is not running onto the field,0
a girl dressed in purple and blue is walking beside her bike at night,a woman in a top which is purple is walking a bicycle between two stone columns,0
a woman is boiling noodles in water,someone is stirring noodles in the water,0
a young child is watering a plant with splashes,a young child is splashing in the water,0
masked people are looking in the same direction in a forest,people wearing costumes without masks are gathering in a forest and are looking in the same direction,1
a dog is running on the road,a man is running on the road,0
there is no man riding a mechanical bull,the man is riding a mechanical bull,1
the kid is swimming through the blue ocean,the boy is wading through the blue ocean,0
people are walking through a street which is crowded,a man and a woman are walking down a city street,0
the woman is cracking two eggs into a glass bowl,there is no woman cracking an egg into a bowl,1
a woman is slicing a tomato,a woman is taking a can,0
the woman isnt stirring eggs in a bowl,the woman is stirring eggs in a bowl,1
the woman is dicing onions,the woman is throwing onions away,0
a girl is drawing a man,a man is drawing,0
a man is working on the computer,the man is feeding the snake with a mouse,0
a man is singing a song and playing the guitar,a man is opening a package that contains headphones,0
the cat is playing with a watermelon,the cat isnt playing with a watermelon,1
a brown dog is jumping in the air,a brown dog is sitting down,0
the kids are not chasing each other in the sand,a little boy is running on the ground and playing with a little girl,0
a girl in a brown dress is being surrounded by children and is closing her eyes,the sun is shining on the face of the girl who is in the dyed yellow dress,0
the man is erasing the other mans work from the board,the girl is erasing the other mans work from the board,0
a man is leading the race,a few men are running competitions outside,0
a girl is tapping her fingernails,a big dog is running on the ground,0
a man is outside close to a target for blade throwing,the man is throwing knives at a tree,0
a girl is melting two pieces of butter together,tofu is being sliced by a woman,0
the man is on the ride with the horse,the horse is being ridden by a man,0
a man is drawing some figures,a man is erasing some figures,0
a man in a blue jumpsuit is courageously performing a wheelie on a motorcycle,the man is doing a wheelie with a motorcycle on ground which is mostly barren,0
a man is passionately playing a guitar in front of an audience,a woman is peeling a potato,0
a boy is running away from the fishing line,there is no boy hanging a fishing rod and running in front of a fish,0
a boy is sitting on the ground,a toddler is sitting down,0
a woman is firing a rifle,there is no woman firing a rifle,1
a man on a yellow sport bike is doing a wheelie and a friend on a white bike is catching up,a man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,0
a boy in a red shirt is in front a wall which is long and blue and is suspiciously raising an eyebrow at the camera,a boy is standing in front of the blue building in the space reserved for handicapped people,0
the man is talking about the telephone,the man is talking on the telephone,0
a skier dressed in black is catching a tiny bit of air,a man is skiing down a snowy hill,0
a man is sitting on the beach,the man is doing a handstand on the wet sand at the edge of the water at the beach,0
the woman is wearing a blue helmet and is riding a bicycle in a parking lot,the bicyclist is riding on a city street,0
people are dangling from straps and kicking at each other,a blonde girl is hanging by gymnastic ropes,0
a motorcyclist with a red helmet is riding a blue motorcycle down the road,a motorcyclist without a helmet is waiting on a blue motorcycle near the road,0
a man is not playing keyboards,a man is playing keyboards,1
a woman is beating two eggs in a bowl and using a whisk made of wire,a person is removing eggs from a bowl,0
the brown dog is jumping in the air,a brown dog is jumping in the water,0
a big black dog is wearing a red collar and is in the leaves with a blue ball,a little black dog is wearing a red collar and is in the leaves with a blue ball,0
a person is wiping butter on a tray,there is no person buttering a tray,1
a young girl in blue is jumping in the air,a young girl in a blue leotard is jumping on the ground,0
a basketball player is on the court floor and another one is grabbing the ball,there is no basketball player on the court floor and no one is grabbing the ball,1
a shirtless man is jumping over a log,a guy is leaping into the air in a wooded area,0
a boy in a swimsuit is sitting on a circular fountain,a boy is standing next to the opening of a fountain,0
a boy in a band is playing the flute,a girl in a uniform is playing the flute with a marching band,0
a lemur is hanging on a cord,there is no lemur hanging on a cord,1
two women dressed in white and black are relaxing on a bench,two women dressed in white and black are sitting on a bench,0
two people wearing helmets are not riding over the yellow and white flowers,two adults are standing on a scooter in a field of yellow flowers,0
